CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60001,AFR 224-0,African American Memory,Green H, M  W   ,0220 - 0335pm,WATSON 147,30,0,30,HTRQ,H
60002,AFR 225-0,"Race,Gender,Sexuality inHipHop",Douge-Prosper M, M  W  F ,0830 - 0920am,CHAM 1006,25,0,25,CULT VPRQ,H
60003,AFR 270-0,Racial Capitalism&Reproduction,Harper-Shipman T,  T  R  ,1135 - 1250pm,SLOAN 201,25,0,25,JEC SSRQ,H
60004,AFR 290-0,Oral History,Kelly H, M     ,0110 - 0400pm, ,5,0,5,HTRQ,"XLST,O"
60005,AFR 297-0,Caribbean Literature,Flanagan B, M  W   ,0220 - 0335pm,SLOAN 201,15,0,15,CULT LTRQ,"XLST,H"
60006,AFR 300-0,Afrocubana Feminisms,Benson D,   W   ,0110 - 0400pm, ,8,0,8,JEC,"XLST,O"
60007,AFR 321-0,"Black Lives, Black Protest",Douge-Prosper M, M  W  F ,0940 - 1030am,CHAM 1003,20,0,20,JEC SSRQ,H
60008,AFR 332-0,Black Leaders Africa&Caribbean,Douge-Prosper M,  T  R  ,0950 - 1105am,CHAM 1006,15,0,15,CULT HTRQ,H
60009,AFR 374-0,REG FOR SOC 374 CRN 60506,Ewoodzie J,  T    ,0110 - 0400pm,CHAM 2146,0,0,0,SSRQ,"XLST,H"
60010,ANT 101-0,Intro Cultural Anthropology,Polson M,  T  R  ,0815 - 0930am, ,30,0,30,SSRQ,O
60011,ANT 213-0,Israel-Palestine,Neuman T,  T  R  ,1135 - 1250pm, ,20,0,20,JEC SSRQ,O
60012,ANT 220-0,"Religion, Society & Culture",Samson M, M  W  F ,0940 - 1030am,CHAM 3106,20,0,20,CULT SSRQ,H
60013,ANT 234-0,Urban Africa/Popular Culture,Bowles L,  T    ,0110 - 0400pm,WATSON 140,20,0,20,CULT HTRQ,H
60014,ANT 237-0,Worlds Commodities Make,Polson M,  T  R  ,1135 - 1250pm, ,20,0,20,NONE,O
60015,ANT 252-0,Ancient Maya Civilization,Lamoureux-St-Hilaire M, M  W   ,0805 - 0920am, ,20,0,20,CULT HTRQ,O
60016,ANT 271-0,Human Ecology,Cho H, M  W  F ,0830 - 0920am,WATSON 109,20,0,20,SSRQ,H
60017,ANT 277-0,Ancient Food and Foodways,Lamoureux-St-Hilaire M, M  W   ,0220 - 0335pm, ,20,0,20,CULT HTRQ,O
60018,ANT 321-0,"Borderlands, Identity & Rights",Samson M,  T  R  ,0245 - 0400pm,CHAM 3106,15,0,15,CULT SSRQ,H
60019,ANT 335-0,Debunking Race,Cho H, M  W   ,0220 - 0335pm,CHAM 1003,15,0,15,SSRQ,H
60020,ANT 370-0,Theory in Anthropology,Polson M,     F ,0110 - 0400pm, ,15,0,15,NONE,O
60021,ANT 371-0,Ethnographic Writing,Bowles L, M     ,0110 - 0400pm,CHAM 1062,15,0,15,NONE,H
60022,ANT 380-0,Ethical Archaeological Res,Lamoureux-St-Hilaire M,  T    ,0110 - 0400pm,CHAM 1006,15,0,15,NONE,H
60023,ANT 383-0,Seminar: Water & Citizenship,Neuman T,   W   ,0110 - 0400pm, ,15,0,15,JEC SSRQ,O
60024,ARB 102-0,Elementary Arabic II,Joubin R, M  W  F ,0940 - 1030am,CHAM 3234,14,0,14,NONE,"NA,F"
60025,ARB 202-0,Intermediate Arabic II,Khedher R, M  W  F ,1050 - 1140am, ,20,0,20,FRLG,"NA,PRQ,O"
60026,ARB 336-0,Arab Life & Politics via Film,Khedher R, M  W  F ,0940 - 1030am, ,20,0,20,NONE,"NA,PRQ,O"
60027,ART 100-0,Survey of Western Art,Smith S, M  W  F ,0940 - 1030am, ,30,0,30,VPRQ,O
60028,ART 101-0,Basic Drawing,Starr T,  T  R  ,0950 - 1105am,VAC 203,12,0,12,VPRQ,"NA,H"
